month,opening,white_bucket,black_bucket,games,white_pct,black_pct,draw_pct
2013-01,Owen Defense,1500,1500,276,47.101,50.362,2.536
2013-01,Owen Defense,1600,1600,244,49.590,49.590,0.820
2013-01,Van't Kruijs Opening,1500,1500,210,49.524,46.667,3.810
2013-01,Owen Defense,1600,1500,209,57.895,37.321,4.785
2013-01,Hungarian Opening,1600,1600,207,55.072,44.928,0.000
2013-01,Owen Defense,1500,1600,202,42.079,56.436,1.485
2013-01,Hungarian Opening,1600,1500,193,64.249,33.679,2.073
2013-01,Van't Kruijs Opening,1500,1600,177,37.288,58.757,3.955
2013-01,Owen Defense,1700,1600,176,66.477,31.250,2.273
2013-01,Sicilian Defense: Bowdler Attack,1500,1500,163,39.264,57.669,3.067
2013-01,Owen Defense,1400,1500,162,35.802,60.494,3.704
2013-01,Van't Kruijs Opening,1200,1400,149,24.832,73.154,2.013
2013-01,Sicilian Defense: Bowdler Attack,1500,1600,147,32.653,64.626,2.721
2013-01,Van't Kruijs Opening,1400,1500,147,34.014,62.585,3.401
2013-01,Van't Kruijs Opening,1600,1500,145,59.310,35.862,4.828
2013-01,Van't Kruijs Opening,1200,1300,143,39.860,59.441,0.699
2013-01,Owen Defense,1500,1400,143,58.741,39.161,2.098
2013-01,Philidor Defense #3,1500,1500,136,60.294,37.500,2.206
2013-01,Modern Defense,1600,1500,132,62.121,35.606,2.273
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1500,1500,132,63.636,31.818,4.545
2013-01,Modern Defense,1500,1500,132,48.485,50.758,0.758
2013-01,Queen's Pawn Game: Chigorin Variation,1500,1500,130,61.538,36.923,1.538
2013-01,Van't Kruijs Opening,1300,1500,129,22.481,76.744,0.775
2013-01,Van't Kruijs Opening,1300,1400,125,32.000,64.800,3.200
2013-01,Van't Kruijs Opening,1600,1600,125,48.000,49.600,2.400
2013-01,Hungarian Opening,1500,1500,121,49.587,45.455,4.959
2013-01,Van't Kruijs Opening,1500,1400,121,49.587,45.455,4.959
2013-01,Van't Kruijs Opening,1400,1400,120,39.167,56.667,4.167
2013-01,Van't Kruijs Opening,1300,1300,120,40.000,55.833,4.167
2013-01,Owen Defense,1700,1500,119,70.588,22.689,6.723
2013-01,Queen's Pawn Game: Chigorin Variation,1600,1500,118,68.644,26.271,5.085
2013-01,Van't Kruijs Opening,1200,1200,115,58.261,39.130,2.609
2013-01,Queen's Pawn Game,1600,1600,114,48.246,47.368,4.386
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1500,1400,109,66.972,29.358,3.670
2013-01,Sicilian Defense,1500,1600,108,36.111,61.111,2.778
2013-01,Modern Defense,1500,1600,108,41.667,51.852,6.481
2013-01,Saragossa Opening,1600,1500,106,66.038,33.019,0.943
2013-01,Modern Defense,1600,1600,105,52.381,44.762,2.857
2013-01,Bishop's Opening,1500,1500,103,50.485,44.660,4.854
2013-01,French Defense: Knight Variation,1500,1500,103,51.456,44.660,3.883
2013-01,Philidor Defense #3,1500,1400,102,53.922,43.137,2.941
2013-01,Horwitz Defense,1500,1500,102,59.804,38.235,1.961
2013-01,Van't Kruijs Opening,1200,1500,100,27.000,72.000,1.000
2013-01,Queen's Pawn Game #2,1400,1500,99,43.434,48.485,8.081
2013-01,Van't Kruijs Opening,1600,1700,98,30.612,66.327,3.061
2013-01,Queen's Pawn Game #2,1400,1400,98,42.857,50.000,7.143
2013-01,Scotch Game,1500,1500,97,49.485,43.299,7.216
2013-01,Horwitz Defense,1600,1500,97,69.072,29.897,1.031
2013-01,Owen Defense,1400,1400,97,43.299,55.670,1.031
2013-01,Sicilian Defense: Bowdler Attack,1400,1500,96,33.333,65.625,1.042
2013-01,Modern Defense,1400,1500,96,41.667,54.167,4.167
2013-01,English Defense #2,1500,1600,95,36.842,60.000,3.158
2013-01,Caro-Kann Defense,1700,1700,92,51.087,44.565,4.348
2013-01,Queen's Pawn Game,1600,1700,92,45.652,48.913,5.435
2013-01,Van't Kruijs Opening,1700,1600,92,56.522,39.130,4.348
2013-01,Owen Defense,1600,1700,92,43.478,51.087,5.435
2013-01,Philidor Defense #3,1500,1300,91,72.527,21.978,5.495
2013-01,Queen's Pawn Game,1600,1500,91,63.736,31.868,4.396
2013-01,Van't Kruijs Opening,1500,1700,91,23.077,72.527,4.396
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1600,1500,90,62.222,37.778,0.000
2013-01,Philidor Defense #3,1600,1500,89,60.674,32.584,6.742
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1400,1400,89,56.180,41.573,2.247
2013-01,Philidor Defense #2,1500,1500,89,50.562,46.067,3.371
2013-01,Sicilian Defense,1600,1600,88,56.818,39.773,3.409
2013-01,Bishop's Opening,1600,1500,88,63.636,32.955,3.409
2013-01,Bishop's Opening,1500,1400,86,70.930,26.744,2.326
2013-01,Sicilian Defense: Bowdler Attack,1500,1400,86,54.651,45.349,0.000
2013-01,Philidor Defense #3,1400,1400,86,52.326,44.186,3.488
2013-01,Ruy Lopez: Steinitz Defense,1500,1500,86,53.488,44.186,2.326
2013-01,Philidor Defense #3,1600,1600,86,44.186,53.488,2.326
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1600,1600,85,55.294,35.294,9.412
2013-01,Owen Defense,1700,1700,84,51.190,45.238,3.571
2013-01,Van't Kruijs Opening,1700,1500,84,77.381,21.429,1.190
2013-01,Horwitz Defense,1600,1600,83,44.578,49.398,6.024
2013-01,Caro-Kann Defense,1500,1500,83,45.783,50.602,3.614
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1500,1300,83,78.313,18.072,3.614
2013-01,Sicilian Defense: Bowdler Attack,1600,1600,83,43.373,55.422,1.205
2013-01,Sicilian Defense: Bowdler Attack,1400,1600,82,31.707,64.634,3.659
2013-01,Scandinavian Defense,1400,1400,82,46.341,52.439,1.220
2013-01,Sicilian Defense,1500,1500,82,41.463,52.439,6.098
2013-01,Hungarian Opening,1500,1600,82,28.049,65.854,6.098
2013-01,Sicilian Defense: McDonnell Attack,1700,1600,81,70.370,25.926,3.704
